"Priority","Case ref","Case Age Old","Status","Sub Region Name","Machine Down Status","End User Name","MD Duration","HP Product","Case Subject","Assignment group","Escalation Level","Case Category","Case Subcategory","External Comments","Internal comments","Closure Note          (Customer Visible)","Closure Note         (Internal)","Customer Feedback","CSAT Customer Survey Score","Cause Code L1","Cause Code L2","Cause Code L3"
"3 - Moderate","CS21532737","119400","Work In Progress","NA East","MD Restored","GLS Companies / Enpointe","112440","HP PWI T250HD","MP446/Phone/PEC01 down","AMS PWP T2","Field","Break & Fix","Press Hardware - Other","2025-12-02 04:12 - Anek Sartmalee (FSE) (External Comments)
Hi Jeff,
  Per call unfortunately we still cannot connect to your press for checking.We are agreed to dispatch Engineer to be onsite in the first time tomorrow morning.
  In other hand after Steven taking the next shift at about midnight will check with him and try to connect to the press again.

2025-12-02 03:20 - Anek Sartmalee (FSE) (External Comments)
Hi Jeff,
   Per call we are not able to connect to your press. Please check and activate the access again.

","2025-12-03 10:11 - Francisco Javier Gargallo Rey (DFE) (Internal comments)
Screenshot 2025-12-03 10:11.png copy/pasted into the case

2025-12-02 05:01 - Diego1 Martinez (FOA) (Internal comments)
State for case task CSTASK0382024 changed to Closed

2025-12-02 05:00 - Diego1 Martinez (FOA) (Internal comments)
From: HP Industrial Print <ServiceCenter@IndustrialPrint.hp.com> 
Sent: Monday, December 1, 2025 9:23 PM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Action Task CSTASK0382024 for GLS Companies / Enpointe , MP446 , 2 - High , MD , CS21532737 was created by Anek Sartmalee (FSE)

Action Task CSTASK0382024 for GLS Companies / Enpointe,Case ID: CS21532737
was created by Anek Sartmalee (FSE),cell phone number: +66 8 13761238.
Serial number: US1928M100
Issue: MP446/Phone/PEC01 down
Problem Description: MP446/Phone/PEC01 down
Task Description : Dispatch needed at first time tomorrow morning.
 
Ref:MSG33085194
---------------------------------
From: PWP Tier0 Support <dispatchihps@hp.com> 
Sent: Monday, December 1, 2025 9:59 PM
To: Sartmalee, Anek <anek.sartmalee@hp.com>
Cc: PWP Tier0 Support <dispatchihps@hp.com>
Subject: MP446 | GLS Companies / Enpointe | AMS | Machine Down: 1 - Critical Down | CS21532737-5152463100 | PEC01 down

Greetings,

This e-mail is to inform you that I have created a new WO for you.

Press: MP446
Customer: GLS Companies / Enpointe
Case: CS21532737-5152463100
Problem Description: PEC01 down
Press Status: Machine Down: 1 - Critical Down
Operations Performed: B&H
Work Order: WO-032690625

Thank you for taking the time to go through this.
If you have any doubt, please feel free to contact dispatchihps@hp.com

Best regards,

Diego Martinez
AH Care Center Agent
HP Inc Americas Graphics Solutions Services 
T + 1 800 204 63 44

2025-12-02 04:56 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=2315d67d8329fe10977613b6feaad3b3'target='_blank'> CSTASK0382028</a>[/code] has been created

2025-12-02 04:22 - Anek Sartmalee (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=826c4ab9c36d725092739daf050131a1'target='_blank'> CSTASK0382024</a>[/code] has been created

2025-12-02 03:55 - Anek Sartmalee (FSE) (Internal comments)
Screenshot 2025-12-02 09:55.png copy/pasted into the case

","","","","","","",""
"3 - Moderate","CS21536511","77040","Work In Progress","UKI","MD Restored","Westcolour Ltd","76920","HP PWI A2200","H&B UV lamp issue ","UK - PWP T2","Field","Break & Fix","3rd Party Inline Devices","2025-12-02 15:18 - Dawid Kiereta (External Comments)
Thank you Victor.

2025-12-02 15:04 - Victor Martin (DFE) (External Comments)
Thanks Dawid.

Will dispatch an engineer to review.

Regards,
Victor

2025-12-02 15:01 - Dawid Kiereta (External Comments)
Yes indeed Victor, the same lamp.

2025-12-02 14:48 - Victor Martin (DFE) (External Comments)
Hi Dawid,

Have the issue come back after it has been fixed last week?

Is it in  the very same spot?

Thanks,
Victor

","2025-12-02 17:38 - Stephen Phillpot (FSE) (Internal comments)
@Emiliya Pavlova (SME) Hello Emi, I am going tomorrow, I have contacted the customer.

2025-12-02 16:19 - Emiliya Pavlova (SME) (Internal comments)
@Stephen Phillpot (FSE) Hi Steve, just to check - are you going onsite today or tomorrow?

2025-12-02 15:05 - Victor Martin (DFE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=8960e042c3edb65092739daf050131ef 'target='_blank'>VST12915655</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21535905","86820","Work In Progress","LA","MD Restored","Carvajal","38340","HP PWI T230","MP211A/Snow/ Solenoide modulo SE6 dañado ","WW PWP RS","Field","Break & Fix","3rd Party Inline Devices","2025-12-02 12:19 - Said Hanafi (RSE) (External Comments)
Li o seguinte: CHAMAR UM TÉCNICO DIS SAS – APOIO NO LOCAL.
Deseja que envie um técnico da DIS? Por favor, avise-me. Agradeço muito o seu feedback.

I read the following: CALL DIS SAS TECHNICIAN – ON-SITE SUPPORT.
Do you want me to have a DIS FSE dispatched? Please let me know. Your feedback is much appreciated.

Said

2025-12-02 12:06 - Said Hanafi (RSE) (External Comments)
checking customer issue and request

","2025-12-02 22:41 - Miguel Perez (FSE) (Internal comments)
I spoke with DIS FSE, he told me that the issue was resolved. DIS solution time was from 8 am to 10 am

2025-12-02 20:27 - Tiago Domenichelli (FSE) (Internal comments)
Waiting DIS feedback

2025-12-02 13:09 - Rodrigo Hernandez (FOA) (Internal comments)
Greetings,

This e-mail is to inform you that I have created a new WO for you.

Press: MP211A
CDAX Case: CS21535905/5152485568
WO-032699490
Problem Description: Press down due to Solenoid module SE6 damaged

If you have any doubt, please feel free to contact dispatchihps@hp.com

Best regards,

Diego Rodriguez
AH Care Center Agent
HP Inc Americas Graphics Solutions Services 
T + 1 800 204 63 44

 




From: HP Industrial Print <ServiceCenter@IndustrialPrint.hp.com> 
Sent: Tuesday, December 2, 2025 5:36 AM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Action Task CSTASK0382143 for Carvajal , MP211A , 2 - High , MD , CS21535905 was created by Said Hanafi (RSE)

Action Task CSTASK0382143 for Carvajal,Case ID: CS21535905
was created by Said Hanafi (RSE),cell phone number: +491622952152.
Serial number: US3514M100
Issue: MP211A/Snow/ Solenoid module SE6 damaged
Problem Description: Solenoide modulo SE6 dañado 
Task Description : Dear Team, 

press down due to Solenoid module SE6 damaged, please dispatch DIS FSE to support the customer on this issue onsite.
customer statement: CALL DIS SAS TECHNICIAN - ON-SITE SUPPORT.

thanks
Said
 
Ref:MSG33095556

2025-12-02 12:50 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=95c10c0ec3adf250876cdc1115013102'target='_blank'> CSTASK0382154</a>[/code] has been created

2025-12-02 12:35 - Said Hanafi (RSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=6c8d3f75c36df250876cdc11150131bd'target='_blank'> CSTASK0382143</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21536060","84000","Pending Parts","NA East","MD Restored","Wallace Graphics Inc.","23400","HP PWI A2200","DP27 - Phone - Hunkler rewinder issue","AMS PWP T2","Field","Break & Fix","3rd Party Inline Devices","2025-12-02 14:29 - Sebastien Courcoul (RSE) (External Comments)
Called Jonathan,
Got the rolller in the entrance of teh rewinder damaged and got media damaged.
Will request dispatch to check it.

2025-12-02 12:48 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-02 21:55 - rodolfo arellano (BOA) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=38da7d4ac361fa5092739daf05013168'target='_blank'> CSTASK0382439</a>[/code] has been created

2025-12-02 21:52 - Rodrigo Juarez (RSE) (Internal comments)
A new order has been placed according to the following details:
 
Sales Order Number: 0614974189
Order Number: MO-713475300
Part number: 3140-1547  MOTOR SYNC DC 4 POLE PAIR 3000RPM 12.5NM
Qty: 1
Status: Ordered
ETA: 12/3/2025

2025-12-02 21:52 - Rodrigo Juarez (RSE) (Internal comments)
From: IHPS Call Center <IHPSCallCenter@hp.com> 
Sent: Tuesday, December 2, 2025 2:46 PM
To: PWP Tier0 Support <dispatchihps@hp.com>; Jon.paul@bhemail.com
Cc: Bloss, Karen <karen.bloss1@hp.com>
Subject: RE: Changes to Case Request Form: IPCS New Case Request Form

For 0301.00075

Use this:
Name: 
MOTOR SYNC DC 4 POLE PAIR 3000RPM 12.5NM
Number: 
3140-1547

Kind regards,
Miguel Pérez
PWP RSE - FSE
GSS – Americas

2025-12-02 21:52 - Rodrigo Juarez (RSE) (Internal comments)
From: Smartsheet Automation <automation@app.smartsheet.com> 
Sent: Tuesday, December 2, 2025 2:40 PM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Changes to Case Request Form: IPCS New Case Request Form

CAUTION: External Email 
 

 		


Changes to Case Request Form: IPCS New Case Request Form



 
 
 	Case Request Form 
 


 
 		 	 
 	Details 	Changes since 12/2/25, 12:38 PM	 
 		 	 
 	1 row added
________________________________________
 	1 row added or updated (shown in yellow) 
	Row 3140
	
Hide this field		
Created		12/02/25, 12:38 PM
Asset Tag		DP27
Region		East
Submitted By:		Jonathan Paul (706)313-0852 Jon.paul@bhemail.com

Type of Request		Case Request
Type of Case Needed		Existing Case - Additional Work Order(s) or Parts needed
Asset & Company Name		DP27 Wallace Graphics Inc
Issue Description/Case Subject		
Case Priority		
Customer Contact Name		Jonathan Wallace
Customer Contact Phone Number		+1 (770) 905-6869
Case Sub Category		
Customer Case ID (CDAX / SNOW Case ID)		5152502569
Type of Follow up Needed		
Type of Order Needed		
Symptom Code		
From Date (One Work Order per Day)		12/03/25
TIll Date		
Additional Note		Hunkeler part number
Trouble Shooting Actions		
Additional Email Address to Notify		
1. SAP Part Number		0301.00075
1. Part Description		Hunkeler part 8LSA55.DA030S000-3 servomotor
Shipment Priority		Over Night (Approval Needed)
1. Part Quantity		1
2. SAP Part Number 		
2. Part Description		
2. Part Quantity		
3. SAP Part Number		
3. Part Description		
3. Part Quantity		
Repeat issue 		
If Repeat Issue then enter time frame.		
Case Category		
Product Line		UN
Channel		HP Inc
4. SAP Part Number		
4. Part Description		
4. Part Quantity		
5. SAP Part Number		
5. Part Description		
5. Part Quantity		

 	Changes made by web-form@smartsheet.com

________________________________________
You are receiving this email because you are subscribed to a workflow ""IPCS New Case Request Form"" (ID# 1510925338470276) on sheet Case Request Form 
Exclude your changes from all notifications | Unsubscribe 
Powered by Smartsheet Inc. | Privacy Policy | Report Abuse/Spam

2025-12-02 19:18 - Michael Quintavalle (FSE) (Internal comments)
Screenshot 2025-12-02 13:18.png copy/pasted into the case

2025-12-02 18:32 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=4aefc58e83217650977613b6feaad32a'target='_blank'> CSTASK0382358</a>[/code] has been created

2025-12-02 14:35 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=3bb99846c3e5f2504fa5dd1f05013125'target='_blank'> CSTASK0382203</a>[/code] has been created

2025-12-02 14:33 - rodolfo arellano (BOA) (Internal comments)
State for case task CSTASK0382199 changed to Closed

2025-12-02 14:31 - Sebastien Courcoul (RSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=4348d4ca4729b250b1601fc1e26d43b7'target='_blank'> CSTASK0382199</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21534943","91740","Resolved","NA West","MD Restored","American Litho","16200","HP PWI T250HD","MP463 - Phone - Failure/ Air issue","AMS PWP T2","Field","Break & Fix","Press Hardware - Other","2025-12-02 15:43 - Patrick Morseman (FSE) (External Comments)
Closure notes: TOF was not lining up on the paper. The TOF was set to -8.76. The press was creating a -32 correction on top of that. That moved the TOF to -9.06 and was off the end of the paper and could not see the TOF mark. I set the auto correct to 0 and ran a SUC. The sensor then found the TOF mark and printed without error.

","2025-12-02 15:42 - Patrick Morseman (FSE) (Internal comments)
State for case task CSTASK0382096 changed to Closed

2025-12-02 15:24 - Patrick Morseman (FSE) (Internal comments)
A visit VST12914316 has been closed

2025-12-02 15:23 - Patrick Morseman (FSE) (Internal comments)
TOF was not lining up. the auto correct was adding a -32 correction to the TOF sensor. I set the correction to 0 and the TOF moved back to the set TOF mark position. After making that correction the press was able to print.

2025-12-02 12:45 - Francisco Javier Gargallo Rey (DFE) (Internal comments)
i have called him several times, not picking the phone, press is not remoted and dispatch is ordered.

2025-12-02 11:52 - Petar Popkochev (FOA) (Internal comments)
@Patrick Morseman (FSE) @Rodrigo Hernandez (FOA)

2025-12-02 11:47 - Petar Popkochev (FOA) (Internal comments)
Dear RS team, @Francisco Javier Gargallo Rey (DFE)

tel:+12242214953 Rene still waiting on your call.

BR
Petar

2025-12-02 11:30 - Rodrigo Hernandez (FOA) (Internal comments)
Greetings,

The visit VST12914316 has been created.

If you have any doubt, please feel free to contact dispatchihps@hp.com
 
Best regards,
 
Diego Rodriguez
AH Care Center Agent
HP Inc Americas Graphics Solutions Services
T + 1 800 204 63 44 
 

From: HP Industrial Print <ServiceCenter@IndustrialPrint.hp.com> 
Sent: Tuesday, December 2, 2025 4:04 AM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Action Task CSTASK0382096 for American Litho , MP463 , 2 - High , MD , CS21534943 was created by Francisco Javier Gargallo Rey (DFE)

Action Task CSTASK0382096 for American Litho,Case ID: CS21534943
was created by Francisco Javier Gargallo Rey (DFE),cell phone number: .
Serial number: US2030M109
Issue: MP463 - Phone - Failure/ Air issue
Problem Description: MP463 - Phone - Failure/ Air issue
Task Description : Dispatch - Primary FSE Patrick Morseman  
 
Ref:MSG33093122

2025-12-02 11:11 - Rodrigo Hernandez (FOA) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=d75a673d47a17250b1601fc1e26d4307 'target='_blank'>VST12914316</a>[/code] has been created

2025-12-02 11:02 - Francisco Javier Gargallo Rey (DFE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=89e8ebf597e57250cc16b266f053af26'target='_blank'> CSTASK0382096</a>[/code] has been created

2025-12-02 11:01 - Francisco Javier Gargallo Rey (DFE) (Internal comments)
No remote. Will dispatch

2025-12-02 10:56 - Francisco Javier Gargallo Rey (DFE) (Internal comments)
Customer not picking the phone
Will check status

","TOF was not lining up on the paper. The TOF was set to -8.76. The press was creating a -32 correction on top of that. That moved the TOF to -9.06 and was off the end of the paper and could not see the TOF mark. I set the auto correct to 0 and ran a SUC. The sensor then found the TOF mark and printed without error.","","","","Print Electronics","TOF Sensor","Changed Parameters"
"3 - Moderate","CS21533767","100380","Work In Progress","Germany","MD Restored","CCL Label Marburg GmbH","15060","HP PWI A2200","Paper web sways after the printer and tears in the Tecnau rewinder","EMEA PWP T3","Tech Group","Break & Fix","Paper Path","2025-12-02 15:25 - Martin Schofield (TGE) (External Comments)
Hi Jeremias,

Sorry but i now understand we are responsible for the winders during this period. However Tecnau will not be onsite until Thursday 4th December.

Regards

Martin Schofield

2025-12-02 15:12 - Martin Schofield (TGE) (External Comments)
Hi Jeremias,

Following our meeting this morning we believe the issue to with the Tecnau winder itself. If i'm correct you have the service contract with Tecnau, so you must contact them direct for support.

Regards

Martin Schofield

2025-12-02 13:13 - Jeremias Kraus (External Comments)
Hello again,

we tryed to start production with the samler core but a few minutes after printing we got the wrinkles again. Now we've a web brake. Is it possible to get eralier then Wednesday external assistance?

2025-12-02 10:59 - Jeremias Kraus (External Comments)
// I also notice you are not using the rider roller on tecnau rewinder is there a reason why this is not used ? // At the installation the Tecnau technican told us thats the same solution at other customers to have less wrinkles by rewinding the paper.

2025-12-02 10:15 - Jeremias Kraus (External Comments)
We tried now a smaller casing for the rewinder roll an it seems like it could work but we don‘t know if we really solved the problem

2025-12-02 09:47 - James Daulby (TGE) (External Comments)
Hello  Jeremias 
Can you please share a video of web exiting print engine and entering next unit in line 
I also notice you are not using the rider roller on tecnau rewinder is there a reason why this is not used ? if it is used it may help with issues you are seeing and would be also good to eliminate this.

Best regards
James Daulby

2025-12-02 08:59 - Jeremias Kraus (External Comments)
Attachment uploaded to the case

2025-12-02 08:56 - Jeremias Kraus (External Comments)
Attachment uploaded to the case

2025-12-02 08:25 - Jeremias Kraus (External Comments)
+491608535691

2025-12-02 08:24 - Seungmin Lee (FSE) (External Comments)
Hello, Can I get your number to call you?

","2025-12-02 12:26 - James Daulby (TGE) (Internal comments)
After call with customer he informs that using a smaller size core in length the creasing stops -Tecnau are due onsite this week and will be requested to look in this issue in further detail.
Customer confirms paper path exiting print engine -entering weko-exiting weko-entering web buffer-exiting web buffer is fine issue is at Tecnau rewinder 
Press is now back in production

2025-12-02 08:53 - Seungmin Lee (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=685b8bf1c3e53250197db451150131c0'target='_blank'> CSTASK0382050</a>[/code] has been created

2025-12-02 08:52 - Seungmin Lee (FSE) (Internal comments)
Customer tried different speed and different tension on rewinder, but still same issue.

","","","","","","",""
"3 - Moderate","CS21539281","21180","Work In Progress","AP","MD Restored","Lightning Source AUS","12660","HP PWI T235HD","MP331A/portal/Printbar issue","AU PWP T2","Field","Break & Fix","Print Bar Hardware","2025-12-03 06:36 - Seungmin Lee (FSE) (External Comments)
Hello, I requested dispatch FSE. Thank you.

2025-12-03 06:15 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-03 10:18 - Paul Chester (FSE) (Internal comments)
Replaced failed rear elevator motor then found had different issue with encoder mismatch. Rechecked levels and initialised service pca but same error.  Replaced front actuator as well and press is now working.  I am not sure if both actuators were actually intermittently failing or if there has been a manufacturer change of the parts but both together solved the problem.

2025-12-03 09:46 - Paul Chester (FSE) (Internal comments)
A visit VST12917926 has been closed

2025-12-03 07:23 - Paul Chester (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=31500cde3ba93a50dba7da2a85e45a9f 'target='_blank'>VST12917926</a>[/code] has been created

2025-12-03 06:25 - Seungmin Lee (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=36e2bb82c3adfa50876cdc1115013190 'target='_blank'>VST12917765</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21536478","77640","Resolved","CEE","MD Restored","Amazon Fulfillment Poland Sp. z.o.o.","12120","HP PWI T240HD","Jobs are not buffering in the press.","WW PWP RS","Care Center","Break & Fix","Press Software","2025-12-03 10:06 - Francisco Javier Gargallo Rey (DFE) (External Comments)
Closure notes: Buffering was so slow, after restart and purge all found the DB triggering in the logs problems with duplicates.
Having this decided to reinstall the dFE and import the correct settings for the WC. 

2025-12-02 18:03 - Francisco Javier Gargallo Rey (DFE) (External Comments)
Service restored doing a dfe reinstall since the srs logs were having many errors about duplicate entries and many other things.

2025-12-02 14:34 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","","Buffering was so slow, after restart and purge all found the DB triggering in the logs problems with duplicates.
Having this decided to reinstall the dFE and import the correct settings for the WC. ","","","","Press Software","DFE Issue","Performed Maintenance"
"3 - Moderate","CS21538555","46020","Work In Progress","Japan","MD Restored","KPS Products","6060","HP PWI T300","Vision2 BIOS設定","WW PWP RS","Care Center","Break & Fix","Vision System","2025-12-03 01:10 - ふじみ野 KPSP (External Comments)
キャリブでの動作確認致しました、ご対応ありがとうございます。

2025-12-03 01:02 - Yuichi Yoshida (CCE) (External Comments)
BIOSのシリアルポート設定が再度戻っていました。設定しなおしました。
対応策についてまた連絡させていただきます。

","2025-12-03 06:13 - Yuichi Yoshida (CCE) (Internal comments)
ilo5 updated to v3.1.6. 
The customer is to power-off vs06 as usual the end of the day today. It is to be powered on tomorrow morning past 7:00AM. The system is to be monitored for the issue when the power gets back  on.

2025-12-03 05:25 - Yuichi Yoshida (CCE) (Internal comments)
https://community.hpe.com/t5/proliant-servers-ml-dl-sl/server-crash-post-error-266-non-volatile-memory-corruption/td-p/7151423
https://support.hpe.com/hpesc/public/docDisplay?docId=a00109494en_us&docLocale=en_US

2025-12-03 01:23 - Yuichi Yoshida (CCE) (Internal comments)
The system health is reported all green. 
ut Non-Volatile Memory Corruption is restoring the BIOS settings to defaults.  (Dec-02 and Dec-03)

","","","","","","",""
"3 - Moderate","CS21538675","40860","Work In Progress","France","MD Restored","SASU SEPEC NUMERIQUE","5700","HP PWI T260M","Pec 2 non reconnu","WW PWP RS","Care Center","Break & Fix","Print Bar Hardware","2025-12-03 02:46 - Er xin Wang (CCE) (External Comments)
Glad to hear it, Thank you for your update!
Je suis ravi de l'apprendre, merci pour votre mise à jour !

2025-12-03 02:30 - OPERATEURS T (External Comments)
Oui c'est tout bon merci

2025-12-03 02:24 - Er xin Wang (CCE) (External Comments)
Hello, Looks like you've resolved the issue.
Bonjour, il semble que vous ayez résolu le problème.

2025-12-03 01:00 - OPERATEURS T (External Comments)
Bonsoir, après avoir changé une tête d'impression sur le PEC 2, le pec 2 s'est mis en erreur, toutes les têtes sont en grises au lieu d'être en vert

","2025-12-03 02:22 - Er xin Wang (CCE) (Internal comments)
Screenshot 2025-12-03 09:22.png copy/pasted into the case

","","","","","","",""
